No.,company name,website,url,country,continent,source,revenue/0,revenue/1
2,Kiewit Canada,https://newsroom.kiewit.com/,https://en.wikipedia.org/wiki/Kiewit_Corporation,Canada,America,Wikipedia,US$10.3 billion (2020),
11,Wayss & Freytag,https://www.wf-ib.de/en/media-center/news/?st=0&year=308,https://en.wikipedia.org/wiki/Royal_BAM_Group,Austria,Europe,Wikipedia,"€7,315 million ",
13,CIMIC Group,,https://en.wikipedia.org/wiki/CIMIC_Group,Australia,Asia Pacific,Wikipedia,14.9 billion (2022),
18,Hutchinson Builders,https://www.hutchinsonbuilders.com.au/feed?page=2,https://en.wikipedia.org/wiki/Hutchinson_Builders,Australia,Asia Pacific,Wikipedia,A$2.66 billion,
12,VA Tech Wabag,https://www.wabag.com/news-events/,https://en.wikipedia.org/wiki/VA_Tech_Wabag,Austria,Europe,Wikipedia,25.6 billion, (US$310 million) (2020)
19,Probuild,,https://en.wikipedia.org/wiki/Probuild,Australia,Asia Pacific,Wikipedia,$1.4 billion (2021),
20,Hansen Yuncken,,https://en.wikipedia.org/wiki/Hansen_Yuncken,Australia,Asia Pacific,Wikipedia,1.15 billion (FY2014),
22,Mytilineos S.a.,https://www.metlengroup.com/media/corporate-news/news/?category=2747,https://en.wikipedia.org/wiki/Metka,Greece,Europe,Wikipedia,€445.09 million,
24,Gek Terna Group Of Companies,https://www.gekterna.com/media-center/PressReleases/,https://en.wikipedia.org/wiki/GEK_Terna,Greece,Europe,Wikipedia,€971.30 million (2020,
25, Goldbeck GmbH,https://www.bilfinger.com/en/news/press-releases/,https://en.wikipedia.org/wiki/Bilfinger,Germany,Europe,Wikipedia," €3,737.4 million (2021)",
28,Bunte SE,https://www.hochtief.com/news-media/press-releases,https://en.wikipedia.org/wiki/Hochtief,Germany,Europe,Wikipedia, €21.377 billion ,
29,Heitkamp Ingenieur,,https://en.wikipedia.org/wiki/Heitkamp_BauHolding,Germany,Europe,Wikipedia,350 million (2009),
26,Arup,,https://en.wikipedia.org/wiki/Arup_Group,Germany,Europe,Wikipedia, £1.9 billion (2022),
33,Max Bögl Stiftung,https://www.heitkamp-solutions.com/en/news,https://en.wikipedia.org/wiki/Max_B%C3%B6gl,Germany,Europe,Wikipedia,1.7 billion (2017),
39,MT Højgaard Holding,,https://en.wikipedia.org/wiki/MT_H%C3%B8jgaard,Denmark,Europe,Wikipedia,"6,979 million (2014)",
34,PORR AG,https://kaefer.com/blog/category/news/page/3/,https://en.wikipedia.org/wiki/Porr,Germany,Europe,Wikipedia,4.65 billion EUR (2020),
44,Orascom Construction ,https://orascom.com/updates/,https://en.wikipedia.org/wiki/Orascom_Construction,Egypt,MENA,Wikipedia," US$4,177.3 million",
54,Léon Grosse,,https://en.wikipedia.org/wiki/L%C3%A9on_Grosse,France,Europe,Wikipedia,,
58,GTM Bâtiment,,https://en.wikipedia.org/wiki/CFE_(Belgium),France,Europe,Wikipedia,,
57,Spie Batignolles,,https://en.wikipedia.org/wiki/Spie_Batignolles,France,Europe,Wikipedia,"2,270 million (2011)",
60,Fayat,,https://en.wikipedia.org/wiki/Fayat_Group,France,Europe,Wikipedia,4.1 billion Euro turnover by the FAYAT Group in 2020,
63,Assystem,,https://en.wikipedia.org/wiki/Assystem,France,Europe,Wikipedia,€471.7 million (2020),
68,SPIE,,https://en.wikipedia.org/wiki/SPIE_SA,France,Europe,Wikipedia,€6.694 billion ,
64,Demathieu & Bard,,https://en.wikipedia.org/wiki/Vinci_SA,France,Europe,Wikipedia, €61.675 billion ,
69,L&T Engineering & Construction Division (L&T ECC),https://www.lntecc.com/press-releases-lnt-construction/,https://en.wikipedia.org/wiki/Larsen_%26_Toubro,India,Asia,Wikipedia, (US$27 billion),
71,Gammon India Ltd,https://www.gammonindia.com,https://en.wikipedia.org/wiki/Gammon_India,India,Asia,Wikipedia, (US$6.3 million),
70,Afcons Infrastructure Limited,https://www.afcons.com/en/news,https://en.wikipedia.org/wiki/Afcons_Infrastructure,India,Asia,Wikipedia, (US$1.5 billion) (FY23),
76,Punj Lloyd Ltd.,,https://en.wikipedia.org/wiki/Punj_Lloyd,India,Asia,Wikipedia, (US$670 million) (2018),
78,Dilip Buildcon Ltd.,https://dilipbuildcon.com/pressroom/news/,https://en.wikipedia.org/wiki/Dilip_Buildcon,India,Asia,Wikipedia, (US$1.2 billion) (FY23),
77,Reliance Infrastructure Ltd.,,https://en.wikipedia.org/wiki/Reliance_Infrastructure,India,Asia,Wikipedia, (US$2.3 billion) (2022),
79,ACS SA,https://www.grupoacs.com/press-room/news/press-releases/,https://en.wikipedia.org/wiki/ACS_Group,Spain,Europe,Wikipedia,27.8 billion,
82,Obrascón Huarte Lain SA,https://ohla-group.com/en/press-2/,https://en.wikipedia.org/wiki/Obrasc%C3%B3n_Huarte_Lain,Spain,Europe,Wikipedia, €5.218 billion ,
86,Serneke,,https://en.wikipedia.org/wiki/Serneke,Sweden,Europe,Wikipedia, 6.871 billion (2020),
87,PEAB,,https://en.wikipedia.org/wiki/Peab,Sweden,Europe,Wikipedia,billion,
84,NCC,https://www.ncc.com/media/press-releases/,https://en.wikipedia.org/wiki/NCC_(company),Sweden,Europe,Wikipedia,57 billion SEK (2023),
88,WSP sweden,,https://en.wikipedia.org/wiki/WSP_Global,Sweden,Europe,Wikipedia,14.44 billion (2023),
100,Construction and Planning Co.,,https://en.wikipedia.org/wiki/Doosan_Enerbility,Saudi Arabia,MENA,Wikipedia, 7.67 billion (2011),
109," Kumagai Gumi Co., Ltd.",https://www.kumagaigumi.co.jp/en/news/index.html,https://en.wikipedia.org/wiki/Kumagai_Gumi,Japan,Asia,Wikipedia, 344.7 billion (, 3.07 billion) (FY 2016)
89,Skanska,https://group.skanska.com/media/press-releases-articles/,https://en.wikipedia.org/wiki/Skanska,Sweden,Europe,Wikipedia,billion,
110,Shimizu Corporation,https://www.shimz.co.jp/en/company/csr/news/,https://en.wikipedia.org/wiki/Shimizu_Corporation,Japan,Asia,Wikipedia, $ 15.043 billion ," 2012)
                   (¥  1,416 billion "
116,Jan De Nul Group,https://www.jandenul.com/news,https://en.wikipedia.org/wiki/Jan_De_Nul,Belgium,Europe,Wikipedia,,
92,Bechtel,https://www.bechtel.com/newsroom/press-releases/,https://en.wikipedia.org/wiki/Bechtel,Saudi Arabia,MENA,Wikipedia, $17.6 billion (2020),
125,Pizzarotti Group,https://www.pizzarotti.it/en/news/,https://en.wikipedia.org/wiki/Impresa_Pizzarotti,Italy,Europe,Wikipedia," € 1,255.9 million (2022)",
124,Astaldi,,https://en.wikipedia.org/wiki/Astaldi,Italy,Europe,Wikipedia,€3.0 billion (2016),
120,Yit Corp.,https://www.yitgroup.com/en/media?page=3,https://en.wikipedia.org/wiki/YIT,Finland,Europe,Wikipedia,3.4 billion ,
127,Rizzani De Eccher,https://rde.it/en/news-media/news/,https://en.wikipedia.org/wiki/Rizzani_de_Eccher,Italy,Europe,Wikipedia, € 510 million ,
119,Besix,https://www.besix.com/en/news,https://en.wikipedia.org/wiki/Besix,Belgium,Europe,Wikipedia, US$3.8 billion ,
129,Volker Wessels Group,https://www.volkerwessels.com/en/news?page=0,https://en.wikipedia.org/wiki/VolkerWessels,Netherlands,Europe,Wikipedia,€5.714 billion ,
130,Heijmans,https://www.heijmans.nl/en/news/?page=1,https://en.wikipedia.org/wiki/Heijmans,Netherlands,Europe,Wikipedia,€2.680 billion ,
134,Veidekke,,https://en.wikipedia.org/wiki/Veidekke,Norway,Europe,Wikipedia, 30 billion (2016),
135,Af Gruppen,https://www.afgruppen.com/press/news-archive/,https://en.wikipedia.org/wiki/AF_Group,Norway,Europe,Wikipedia," 12,4 billion (2015)",
136,Mota Engil,,https://en.wikipedia.org/wiki/Mota-Engil,Portugal,Europe,Wikipedia,2.368 billion ,
139,Zagope,,https://en.wikipedia.org/wiki/Andrade_Gutierrez,Portugal,Europe,Wikipedia," US$ 2.308,4 billion ",
147,Morgan Sindall,,https://en.wikipedia.org/wiki/Morgan_Sindall,United Kingdom,Europe,Wikipedia,"4,117.7 million (2023)",
141,Implenia,https://implenia.com/en/media/newsroom/,https://en.wikipedia.org/wiki/Implenia,Switzerland,Europe,Wikipedia," 3,596 million (2023)",
148,Galliford Try,https://www.gallifordtry.co.uk/news/,https://en.wikipedia.org/wiki/Galliford_Try,United Kingdom,Europe,Wikipedia,"1,393.7 million (2023)",
149,Kier,https://www.kier.co.uk/media/,https://en.wikipedia.org/wiki/Kier_Group,United Kingdom,Europe,Wikipedia,"3,405.4 million (2023)",
151,Laing O'Rourke,https://www.laingorourke.com/company/news/,https://en.wikipedia.org/wiki/Laing_O%27Rourke,United Kingdom,Europe,Wikipedia,"3,638.0 million (2022/23)",
150,Mitie,https://www.mitie.com/insights-news/news-events/,https://en.wikipedia.org/wiki/Mitie,United Kingdom,Europe,Wikipedia,"4,055.1 million (2023)",
154,Mace,https://www.macegroup.com/media-centre,https://en.wikipedia.org/wiki/Mace_(construction_company),United Kingdom,Europe,Wikipedia,"1,936.4 million (2022)",
153,Interserve,,https://en.wikipedia.org/wiki/Interserve,United Kingdom,Europe,Wikipedia,"2,241.7 million (2019)",
169,TURNER CONSTRUCTION CO.,https://www.turnerconstruction.com/insights?search=&page=1#projects-section,https://en.wikipedia.org/wiki/Turner_Construction,United States,America,Wikipedia,$14.41 billion (2020),
173,HENSEL PHELPS,https://www.henselphelps.com/the-hensel-phelps-way/news-center/,https://en.wikipedia.org/wiki/Hensel_Phelps_Construction,United States,America,Wikipedia,US$5.9 billion (2021),
179,BRASFIELD & GORRIE,https://www.brasfieldgorrie.com/news,https://en.wikipedia.org/wiki/Brasfield_%26_Gorrie,United States,America,Wikipedia,billion,
174,AECOM,https://aecom.com/press-releases/,https://en.wikipedia.org/wiki/AECOM,United States,America,Wikipedia,14.378 billion,
181,SUFFOLK CONSTRUCTION CO. INC.,,https://en.wikipedia.org/wiki/Suffolk_Construction_Company,United States,America,Wikipedia,$6 billion (2024),
187,BALFOUR BEATTY US,https://www.balfourbeattyus.com/media/in-the-news,https://en.wikipedia.org/wiki/Balfour_Beatty_Construction,United States,America,Wikipedia,,
210,FERROVIAL CONSTRUCTION US HOLDINGS CORP.,,https://en.wikipedia.org/wiki/Ferrovial,United States,America,Wikipedia, €12.208 billion ,
249,LANE INDUSTRIES INC.,,https://en.wikipedia.org/wiki/Webuild,United States,America,Wikipedia, €9.99 billion (2023),
273,HOAR CONSTRUCTION,,https://en.wikipedia.org/wiki/Hoar_Construction,United States,America,Wikipedia,billion,
291,LAS VEGAS PAVING CORP,,https://en.wikipedia.org/wiki/Tutor_Perini,United States,America,Wikipedia,US$4.76 billion (2017),
282,KAJIMA BUILDING & DESIGN GROUP INC.,,https://en.wikipedia.org/wiki/Kajima,United States,America,Wikipedia, $ 15.798 billion ," 2012)
                   (¥  1485.01 billion "
307,ARCH-CON CORP,,https://en.wikipedia.org/wiki/Arch-Con_Corporation,United States,America,Wikipedia,,
313,CARROLL DANIEL CONSTRUCTION CO.,,https://en.wikipedia.org/wiki/Fluor_Corporation,United States,America,Wikipedia,15.5 billion,
324,MWH,,https://en.wikipedia.org/wiki/MWH_Global,United States,America,Wikipedia,,
344,GREAT LAKES DREDGE & DOCK CO.,,https://en.wikipedia.org/wiki/Great_Lakes_Dredge_and_Dock_Company,United States,America,Wikipedia,$731.41 million ,
349,ZACHRY CONSTRUCTION CORP.,,https://en.wikipedia.org/wiki/HNTB,United States,America,Wikipedia,$693 million ,
357,RAND CONSTRUCTION CORP.,,https://en.wikipedia.org/wiki/Quanta_Services,United States,America,Wikipedia,$29.94 billion ,$9.466 billion
410,C. OVERAA & CO.,,https://en.wikipedia.org/wiki/Overaa_Construction,United States,America,Wikipedia,$235 million (2011),
377,W. M. JORDAN CO.,,https://en.wikipedia.org/wiki/KBR_(company),United States,America,Wikipedia,6.564 billion (2022),
438,E.W. HOWELL CO. LLC,,https://en.wikipedia.org/wiki/Obayashi_Corporation,United States,America,Wikipedia, $ 17.28 billion ," 2018.3)
                   (¥  1,901 billion "
526,TRI-NORTH BUILDERS INC.,,https://en.wikipedia.org/wiki/Tri_Pointe_Homes,United States,America,Wikipedia, $3.970 billion (2021),
515,CLARK CONTRACTORS,,https://en.wikipedia.org/wiki/Clark_Construction,United States,America,Wikipedia,$6.5 billion (2022),
538,"China Construction First (Group) Co., LTD",,https://en.wikipedia.org/wiki/China_Railway_Construction_Corporation,China,Asia Pacific,Wikipedia,680.98 billion (2017),
558,"Yunnan Transportation Investment Construction Group Co., LTD",,https://en.wikipedia.org/wiki/Shandong_Gaosu_Group,China,Asia Pacific,Wikipedia,,
568,"China Railway Fifth Bureau Group Co., LTD",,https://en.wikipedia.org/wiki/China_Railway_No.2_Group,China,Asia Pacific,Wikipedia,billion,
651,"CHINA ALUMINUM INTERNATIONAL ENGINEERING CO., LTD",https://zlgj.chinalco.com.cn/,https://en.wikipedia.org/wiki/China_Aluminum_International_Engineering,China,Asia Pacific,Wikipedia,RMB 16.4 billion (2012),
610,"China Sinoma International Engineering Co., Ltd",,https://en.wikipedia.org/wiki/China_National_Materials_Group,China,Asia Pacific,Wikipedia,28.75 billion Yuan (2008) ,
714,BAUER AG Schrobenhausen,,https://en.wikipedia.org/wiki/Bauer_AG,Germany,Europe,Wikipedia,EUR 1.8 billion ,
723,GOLDBECK GmbH Bielefeld,,https://en.wikipedia.org/wiki/Goldbeck_GmbH,Germany,Europe,Wikipedia,5 billion ,
689,"Wuhan East Lake High Technology Group Co.,Ltd.",http://www.elht.com/,https://en.wikipedia.org/wiki/Wanda_Group,China,Asia Pacific,Wikipedia, CN¥257.371 billion (US$31.7 billion) (2018),
745,SNC-Lavalin Group Inc Montréal,,https://en.wikipedia.org/wiki/AtkinsR%C3%A9alis,Canada,America,Wikipedia,8.6 billion (2023),
778,EllisDon Inc London,,https://en.wikipedia.org/wiki/EllisDon,Canada,America,Wikipedia,In excess of $3.5 billion annually,
797,Taisei Corp,,https://en.wikipedia.org/wiki/Taisei_Corporation,Japan,Asia Pacific,Wikipedia,"¥1,487,253 million ",
816,Toyo Construction Co. Ltd,,https://en.wikipedia.org/wiki/Toyo_Engineering_Corporation,Japan,Asia Pacific,Wikipedia, 431.9 billion (," 2016)
                        (US$3.89 billion) (FY 2016)"
811,Penta-Ocean Construction Co. Ltd,,https://en.wikipedia.org/wiki/Penta-Ocean,Japan,Asia Pacific,Wikipedia, $ 3.69 billion ," 2013)
                  (¥  381.18 billion "
823,Takamatsu Construction Group Co. Ltd,,https://en.wikipedia.org/wiki/Takamatsu_Construction_Group,Japan,Asia Pacific,Wikipedia,"¥245,1 million",
807,JGC Holdings Corp,,https://en.wikipedia.org/wiki/JGC_Holdings_Corporation,Japan,Asia Pacific,Wikipedia, 879.9 billion (, 7.3 billion) (FY 2015)
832,Chiyoda Corp,,https://en.wikipedia.org/wiki/Chiyoda_Corporation,Japan,Asia Pacific,Wikipedia, 603.7 billion (, 5.56 billion) (
882,BOUYGUES BATIMENT INTERNATIONAL Guyancourt,,https://en.wikipedia.org/wiki/Bouygues,France,Europe,Wikipedia,37.59 billion,
929,Hindustan Construction Company (HCC),,https://en.wikipedia.org/wiki/Hindustan_Construction_Company,India,Asia Pacific,Wikipedia, (US$1.3 billion) (2022),
926,Tata Projects Ltd,,https://en.wikipedia.org/wiki/Tata_Projects,India,Asia Pacific,Wikipedia, (US$2.2 billion) (FY24),
966,IRB Ltd.,,https://en.wikipedia.org/wiki/IRB_Infrastructure,India,Asia Pacific,Wikipedia, (US$330 million),
957, C&C Constructions Ltd,,https://en.wikipedia.org/wiki/Samsung_C%26T_Corporation,India,Asia Pacific,Wikipedia,,
942,IRCON International Ltd,,https://en.wikipedia.org/wiki/Ircon_International,India,Asia Pacific,Wikipedia, (US$650 million) (2020),
948,National Building Construction Corporation Limited (NBCC),,https://en.wikipedia.org/wiki/NBCC_(India)_Limited,India,Asia Pacific,Wikipedia, (US$620 million) (2020) ,
996,BESIX / Watpac,https://besixwatpac.com/news,https://en.wikipedia.org/wiki/BESIX_Watpac,Australia,Asia Pacific,Wikipedia,$1.1 billion (2018),
986,Fulton Hogan,,https://en.wikipedia.org/wiki/Fulton_Hogan,Australia,Asia Pacific,Wikipedia,$3.22 billion (2013),
994,NRW Holdings Limited,https://nrw.com.au/about-us/latest-news/,https://en.wikipedia.org/wiki/NRW_Holdings,Australia,Asia Pacific,Wikipedia,$2.3 billion (2021),
1026,Bowmer & Kirkland,,https://en.wikipedia.org/wiki/Bowmer_%2B_Kirkland,United Kingdom,Europe,Wikipedia,"£1,069.8 million (2019)",
989,Acciona,https://www.acciona.com/updates/?_adin=11734293023,https://en.wikipedia.org/wiki/Acciona,Australia,Asia Pacific,Wikipedia, €8.104  billion ,
1034,ISG,,https://en.wikipedia.org/wiki/ISG_Ltd,United Kingdom,Europe,Wikipedia,"2,190 million (2022)",
1022,Grocon,,https://en.wikipedia.org/wiki/Grocon,Australia,Asia Pacific,Wikipedia,A$317 million (FY2017),
1042,Sir Robert McAlpine,,https://en.wikipedia.org/wiki/Sir_Robert_McAlpine,United Kingdom,Europe,Wikipedia,881 million (2023),
1037,Willmott Dixon,,https://en.wikipedia.org/wiki/Willmott_Dixon,United Kingdom,Europe,Wikipedia," £1,101.5 million (2021)",
1082,SsangYong E&C ,https://www.ssyenc.co.kr/en/promote/ssyenc_info_list.asp,https://en.wikipedia.org/wiki/Ssangyong_Engineering_and_Construction,South Korea,Asia Pacific,Wikipedia,,
1092," HANYANG CORPORATION Co., Ltd. ",,https://en.wikipedia.org/wiki/Hanwha_Group,South Korea,Asia Pacific,Wikipedia,,
1137,COMSA INSTALACIONES Y SISTEMAS INDUSTRIALES SA Barcelona,,"https://en.wikipedia.org/wiki/Estudios,_Montajes_y_Tendidos_El%C3%A9ctricos",Spain,Europe,Wikipedia,,
1158,Doka GmbH Amstetten,,https://en.wikipedia.org/wiki/Doka_GmbH,Austria,Europe,Wikipedia," 1,853 million (consolidated revenues of the Umdasch Group AG, annual report 2023)",
1170,STRABAG AG Spittal an der Drau,,https://en.wikipedia.org/wiki/Strabag,Austria,Europe,Wikipedia,"15,298 million ",
1221,Losinger Marazzi AG Bern,,https://en.wikipedia.org/wiki/Frutiger_AG,Switzerland,Europe,Wikipedia, 802 millions (2021),
1257,IJM,https://www.ijm.com/,https://en.wikipedia.org/wiki/IJM_Corporation, Malaysia,Asia Pacific,Wikipedia, RM5.13 billion (2016),
1245,PT Waskita Karya (Waskita),,https://en.wikipedia.org/wiki/Waskita_Karya,Indonesia,Asia Pacific,Wikipedia,,
